match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 53rd match, KKR , Royals,May 20,2009,KKR , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-delhi-daredevils-1st-semi-final-392237/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 51st match, KKR , Super Kings,May 18,2009,KKR , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-mumbai-indians-55th-match-392235/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 48th match, KKR , Chargers,May 16,2009,Chargers , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/royal-challengers-bangalore-vs-delhi-daredevils-52nd-match-392232/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 41st match, KKR , RCB,May 12,2009,RCB , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-rajasthan-royals-50th-match-392230/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 39th match, KKR , Daredevils,May 10,2009,Daredevils , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-kings-xi-punjab-46th-match-392226/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 31st match, KKR , Daredevils,May 05,2009,Daredevils , 9 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-delhi-daredevils-43rd-match-392223/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 27th match, KKR , Kings XI,May 03,2009,Kings XI , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-kolkata-knight-riders-39th-match-392219/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 23rd match, KKR , Mumbai,May 01,2009,Mumbai , 9 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-mumbai-indians-35th-match-392215/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 19th match, KKR , RCB,April 29,2009,RCB , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-kolkata-knight-riders-31st-match-392211/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 17th match, KKR , Mumbai,April 27,2009,Mumbai , 92 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/chennai-super-kings-vs-delhi-daredevils-26th-match-392206/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 13th match, KKR , Super Kings,April 25,2009,Match abandoned without a ball bowled,,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/deccan-chargers-vs-delhi-daredevils-21st-match-392201/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 10th match, KKR , Royals,April 23,2009,Match tied (Royals won the one-over eliminator),,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/delhi-daredevils-vs-rajasthan-royals-18th-match-392198/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 6th match, KKR , Kings XI,April 21,2009,KKR , 11 runs ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/royal-challengers-bangalore-vs-delhi-daredevils-14th-match-392194/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 4th match, KKR , Chargers,April 19,2009,Chargers , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-374163/chennai-super-kings-vs-delhi-daredevils-9th-match-392189/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
