match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 3rd Place Play-off, RCB , Chargers,April 24,2010,RCB , 9 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-chennai-super-kings-final-419165/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 1st Semi-Final, RCB , Mumbai,April 21,2010,Mumbai , 35 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-royal-challengers-bangalore-1st-semi-final-419162/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 52nd match, RCB , Mumbai,April 17,2010,Mumbai , 57 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kolkata-knight-riders-vs-mumbai-indians-56th-match-419161/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 49th match, RCB , Royals,April 14,2010,RCB , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/royal-challengers-bangalore-vs-mumbai-indians-52nd-match-419157/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 46th match, RCB , Chargers,April 12,2010,Chargers , 13 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-delhi-daredevils-47th-match-419152/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 43rd match, RCB , KKR,April 10,2010,RCB , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/rajasthan-royals-vs-mumbai-indians-45th-match-419150/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 40th match, RCB , Chargers,April 08,2010,Chargers , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/kings-xi-punjab-vs-mumbai-indians-41st-match-419146/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 35th match, RCB , Daredevils,April 04,2010,Daredevils , 37 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/chennai-super-kings-vs-mumbai-indians-37th-match-419142/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 31st match, RCB , Kings XI,April 02,2010,RCB , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-deccan-chargers-33rd-match-419138/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 28th match, RCB , Super Kings,March 31,2010,Super Kings , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-kings-xi-punjab-27th-match-419132/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 20th match, RCB , Daredevils,March 25,2010,Daredevils , 17 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/deccan-chargers-vs-mumbai-indians-25th-match-419130/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 18th match, RCB , Super Kings,March 23,2010,RCB , 36 runs,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-chennai-super-kings-21st-match-419125/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 14th match, RCB , Mumbai,March 20,2010,RCB , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-kolkata-knight-riders-17th-match-419122/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 10th match, RCB , Royals,March 18,2010,RCB , 10 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-royal-challengers-bangalore-14th-match-419119/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 7th match, RCB , Kings XI,March 16,2010,RCB , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/delhi-daredevils-vs-mumbai-indians-9th-match-419114/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 4th match, RCB , KKR,March 14,2010,KKR , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2009-10-418064/mumbai-indians-vs-rajasthan-royals-2nd-match-419107/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
