match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 68th match, Warriors , Daredevils,May 21,2011,No result,,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-royal-challengers-bangalore-final-501271/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 65th match, Warriors , KKR,May 19,2011,KKR , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/mumbai-indians-vs-royal-challengers-bangalore-2nd-qualifying-final-501270/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 62nd match, Warriors , Chargers,May 16,2011,Chargers , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-royal-challengers-bangalore-1st-qualifying-final-501268/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 53rd match, Warriors , Chargers,May 10,2011,Warriors , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-chennai-super-kings-69th-match-501266/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/321600/321684.jpg"
 51st match, Warriors , Kings XI,May 08,2011,Warriors , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kings-xi-punjab-vs-royal-challengers-bangalore-63rd-match-501260/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 44th match, Warriors , Mumbai,May 04,2011,Mumbai , 21 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kolkata-knight-riders-58th-match-501255/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 38th match, Warriors , Royals,May 01,2011,Royals , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/rajasthan-royals-vs-royal-challengers-bangalore-55th-match-501252/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 35th match, Warriors , RCB,April 29,2011,RCB , 26 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kochi-tuskers-kerala-50th-match-501247/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 31st match, Warriors , Super Kings,April 27,2011,Super Kings , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-kings-xi-punjab-47th-match-501244/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 29th match, Warriors , Super Kings,April 25,2011,Super Kings , 25 runs,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-pune-warriors-35th-match-501232/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 21st match, Warriors , Mumbai,April 20,2011,Mumbai , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/delhi-daredevils-vs-royal-challengers-bangalore-30th-match-501227/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 16th match, Warriors , Daredevils,April 17,2011,Daredevils , 3 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/kolkata-knight-riders-vs-royal-challengers-bangalore-24th-match-501222/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 10th match, Warriors , Kochi,April 13,2011,Warriors , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/royal-challengers-bangalore-vs-rajasthan-royals-20th-match-501217/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png",https://upload.wikimedia.org/wikipedia/en/9/96/Kochi_Tuskers_Kerala_Logo.svg
 5th match, Warriors , Kings XI,April 10,2011,Warriors , 7 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2011-466304/chennai-super-kings-vs-royal-challengers-bangalore-14th-match-501211/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/156200/156230.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
