match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 53rd match, Guj Lions , Sunrisers,May 13,2017,Sunrisers , 8 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-rising-pune-supergiant-final-1082650/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
 50th match, Guj Lions , Daredevils,May 10,2017,Daredevils , 2 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/kolkata-knight-riders-vs-mumbai-indians-qualifier-2-1082649/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 47th match, Guj Lions , Kings XI,May 07,2017,Guj Lions , 6 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-rising-pune-supergiant-qualifier-1-1082647/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 42nd match, Guj Lions , Daredevils,May 04,2017,Daredevils , 7 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/kolkata-knight-riders-vs-mumbai-indians-54th-match-1082644/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 39th match, Guj Lions , Supergiant,May 01,2017,Supergiant , 5 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-kings-xi-punjab-51st-match-1082641/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png"
 35th match, Guj Lions , Mumbai,April 29,2017,Match tied (Mumbai won the one-over eliminator),,https://www.espncricinfo.com/series/ipl-2017-1078425/sunrisers-hyderabad-vs-mumbai-indians-48th-match-1082638/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 31st match, Guj Lions , RCB,April 27,2017,Guj Lions , 7 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/delhi-daredevils-vs-mumbai-indians-45th-match-1082635/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 26th match, Guj Lions , Kings XI,April 23,2017,Kings XI , 26 runs,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-royal-challengers-bangalore-38th-match-1082628/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 23rd match, Guj Lions , KKR,April 21,2017,Guj Lions , 4 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/gujarat-lions-vs-mumbai-indians-35th-match-1082625/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 20th match, Guj Lions , RCB,April 18,2017,RCB , 21 runs,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-rising-pune-supergiant-28th-match-1082618/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 16th match, Guj Lions , Mumbai,April 16,2017,Mumbai , 6 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-delhi-daredevils-25th-match-1082614/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 13th match, Guj Lions , Supergiant,April 14,2017,Guj Lions , 7 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/kings-xi-punjab-vs-mumbai-indians-22nd-match-1082612/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png"
 6th match, Guj Lions , Sunrisers,April 09,2017,Sunrisers , 9 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/mumbai-indians-vs-gujarat-lions-16th-match-1082606/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
 3rd match, Guj Lions , KKR,April 07,2017,KKR , 10 wickets ,https://www.espncricinfo.com/series/ipl-2017-1078425/royal-challengers-bangalore-vs-mumbai-indians-12th-match-1082602/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313500/313525.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
