match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 69th Match, Capitals , Mumbai,May 21,2022,Mumbai , 5 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-rajasthan-royals-final-1312200/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 64th Match, Capitals , Punjab Kings,May 16,2022,Capitals , 17 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-rajasthan-royals-qualifier-1-1312197/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 58th Match, Capitals , Royals,May 11,2022,Capitals , 8 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-gujarat-titans-67th-match-1304113/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 55th Match, Capitals , Super Kings,May 08,2022,Super Kings , 91 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-gujarat-titans-62nd-match-1304108/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313421.logo.png"
 50th Match, Capitals , Sunrisers,May 05,2022,Capitals , 21 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-gujarat-titans-57th-match-1304103/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
 45th Match, Capitals , Super Giants,May 01,2022,Super Giants , 6 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-mumbai-indians-51st-match-1304097/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png"
 41st Match, Capitals , KKR,April 28,2022,Capitals , 4 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-punjab-kings-48th-match-1304094/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 34th Match, Capitals , Royals,April 22,2022,Royals , 15 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-royal-challengers-bangalore-43rd-match-1304089/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 32nd Match, Capitals , Punjab Kings,April 20,2022,Capitals , 9 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-sunrisers-hyderabad-40th-match-1304086/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 27th Match, Capitals , RCB,April 16,2022,RCB , 16 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-gujarat-titans-35th-match-1304081/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
