match,team,oppnent_team,date,year,winning_team,won_by,scorecard,team_logo,opponent_team_logo
 Eliminator, Super Giants , RCB,May 25,2022,RCB , 14 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-rajasthan-royals-final-1312200/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 66th Match, Super Giants , KKR,May 18,2022,Super Giants , 2 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-rajasthan-royals-qualifier-1-1312197/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 63rd Match, Super Giants , Royals,May 15,2022,Royals , 24 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-gujarat-titans-67th-match-1304113/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 57th Match, Super Giants , Titans,May 10,2022,Titans , 62 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-gujarat-titans-62nd-match-1304108/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/334700/334707.png"
 53rd Match, Super Giants , KKR,May 07,2022,Super Giants , 75 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-gujarat-titans-57th-match-1304103/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313419.logo.png"
 45th Match, Super Giants , Capitals,May 01,2022,Super Giants , 6 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-mumbai-indians-51st-match-1304097/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 42nd Match, Super Giants , Punjab Kings,April 29,2022,Super Giants , 20 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-punjab-kings-48th-match-1304094/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/317000/317003.png"
 37th Match, Super Giants , Mumbai,April 24,2022,Super Giants , 36 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-royal-challengers-bangalore-43rd-match-1304089/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 31st Match, Super Giants , RCB,April 19,2022,RCB , 18 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-sunrisers-hyderabad-40th-match-1304086/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313418.logo.png"
 26th Match, Super Giants , Mumbai,April 16,2022,Super Giants , 18 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-gujarat-titans-35th-match-1304081/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/344000/344062.png"
 20th Match, Super Giants , Royals,April 10,2022,Royals , 3 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-chennai-super-kings-29th-match-1304075/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313423.logo.png"
 15th Match, Super Giants , Capitals,April 07,2022,Super Giants , 6 wickets ,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-gujarat-titans-24th-match-1304070/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313422.logo.png"
 12th Match, Super Giants , Sunrisers,April 04,2022,Super Giants , 12 runs,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-gujarat-titans-21st-match-1304067/full-scorecard,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/333800/333885.png","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_80/lsci/db/PICTURES/CMS/313400/313480.logo.png"
